ลำดับ,รายการ,Worksheet,จำนวน,ราคา/หน่วย,หน่วย,จำนวนเงิน,cost,ราคาขาย,Barcode
1,ไม้แขวนเสื้อ - ลวด 111 หนุมาน STCP,1201,5 ลัง,572,12.0,2860,48.0,79.0,
2,แขวนเสื้อลวด+หนีบ 99 SM,1201,2 ลัง,495,12.0,990,41.0,59.0,
3,กล่องล็อค 560 หูหิ้ว W,1201,1 โหล,637,12.0,637,53.0,79.0,
4,กล่องล็อค(39) 561 WW,1201,1 โหล,449,12.0,449,37.0,69.0,
5,กล่องล็อค 560/1 หูหิ้ว W,1201,1 โหล,480,12.0,480,40.0,69.0,
6,กล่องล็อค 561/1 W,1201,1 โหล,306,12.0,306,26.0,39.0,
7,ถัง+ฝา 12 สี BP,1201,2 โหล,1000,12.0,2000,83.0,139.0,
8,เข่ง NO.2 (สี) N,1201,10 ชิ้น,107,1.0,1070,107.0,179.0,
9,กะละมังเหลี่ยม 666 OS,1201,1 โหล,587,12.0,587,49.0,79.0,
10,กะละมัง 549 สี SMK,1201,2 โหล,340,12.0,680,28.0,49.0,
11,กะละมัง 058 สี OS,1201,1 โหล,555,12.0,555,46.0,79.0,
12,เก้าอี้ซักผ้ากลม 9025 สีหวาน AB V-NICE,1201,1 โหล,195,12.0,195,16.0,25.0,
13,เก้าอี้ซักผ้ากลม #9076D สีดำ WCP,1201,1 โหล,188,12.0,188,16.0,25.0,
14,เก้าอี้เตี้ย สีดำ S-0072B SIP,1201,1 โหล,196,12.0,196,16.0,25.0,
15,เก้าอี้เตี้ย 555 สีหวาน MM,1201,1 โหล,220,12.0,220,18.0,30.0,
16,เก้าอี้เตี้ย 366 สีหวาน Bl,1201,1 โหล,190,12.0,190,16.0,25.0,
17,คราดมือเสือ 023 NCL,1201,4 โหล,540,12.0,2160,45.0,79.0,
18,ถัง+ฝา 4.5 SRT,1201,1 โหล,735,12.0,735,61.0,99.0,
19,ถังน้ำฝาใส (ใหญ่) 728-PO SMT,1201,1 โหล,1253,12.0,1253,104.0,169.0,
20,ตะแกรง 1991 สีใส SRT,1201,1 โหล,563,12.0,563,47.0,79.0,
21,ตะแกรง 1990 สีใส-สีสด SRT,1201,1 โหล,770,12.0,770,64.0,99.0,
22,ตะแกรงเหลี่ยม จัมโบ้ 1989 SRT,1201,6 ชิ้น,82,1.0,492,82.0,139.0,
23,ตะแกรงเหลี่ยม 900 สีเข้ม RTH,1201,1 โหล,390,12.0,390,33.0,59.0,
24,ตะแกรง 9831 SMT,1201,1 โหล,730,12.0,730,61.0,99.0,
25,ตะกร้าเหลี่ยมเตี้ย 4000 สีเข้ม OS,1201,2 โหล,512,12.0,1024,43.0,69.0,
26,ตะกร้ากลม 9899/3 สีใส SMT,1201,2 โหล,297,12.0,594,25.0,39.0,
27,ตะกร้าเหลี่ยม มีหู สีหวาน 5948 JCP,1201,1 โหล,1020,12.0,1020,85.0,159.0,
29,ตะแกรงเหลี่ยม 818 KT,1201,3 โหล,93,12.0,279,8.0,15.0,
30,ตะกร้าเหลี่ยม 5953 หูหิ้ว JCP,1201,6 ชิ้น,100,1.0,600,100.0,179.0,
31,เก้าอี้ซักผ้าเหลี่ยมหลามตัด 9026 สีหวาน AB,1201,1 โหล,195,12.0,195,16.0,25.0,
32,ตะแกรงเหลี่ยม 410 สีใส LK,1201,1 โหล,682,12.0,682,57.0,89.0,
33,ตะแกรง 409 สีใส LK,1201,1 โหล,890,12.0,890,74.0,120.0,
34,ตะแกรงเหลี่ยม 903 สีเข้ม RTH,1201,3 โหล,198,12.0,594,17.0,25.0,
35,ตะแกรงเหลี่ยม 111 GL,1201,1 โหล,449,12.0,449,37.0,69.0,
36,เก้าอี้เตี้ย 610 ดำ CS,1201,2 โหล,112,12.0,224,9.0,15.0,
37,ตะกร้าฝาปิดหูหิ้ว 321-3N สีNEW (ใหญ่) VJ,1201,1 โหล,952,12.0,952,79.0,139.0,
38,นส.8 สี SP,1201,10 ชิ้น,89,1.0,890,89.0,159.0,
39,กะละมัง 004/58 สี SP,1201,1 โหล,375,12.0,375,31.0,59.0,
40,กะละมัง 004/75 ดำ SP,1201,1 โหล,924,12.0,924,77.0,159.0,
41,โต๊ะรีดผ้าเตี้ย ตัวเล็ก (18) ต-046 LW,1201,2 มัด,520,8.0,1040,65.0,120.0,
42,ตะกร้าฝาปิด(จัมโบ้)321/4 สีใส/หวาน V,1201,5 ชิ้น,169,1.0,845,169.0,259.0,
43,เก้าอี้ หน้ากลม 250-B สีเข้ม (ปักกิ่ง) SH,1201,1 โหล,670,12.0,670,56.0,89.0,
44,ถัง+ฝา 12 ตำ AC,1201,2 โหล,615,12.0,1230,51.0,79.0,
45,ถังฝา KF-008 สีดำ RTH,1201,2 โหล,510,12.0,1020,43.0,69.0,
46,ตะหลิวไม้ 12 แผงกระดาษ #9890 IMM,1201,1 โหล,168,12.0,168,14.0,20.0,8859403398908
47,ทัพพีพลาสติก 1*2 JP ตราสมอ,1201,1 โหล,150,12.0,150,13.0,20.0,8858477017333
48,ทัพพีตักข้าวใส 10611 ใส แผงกระดาษ IMM,1201,1 โหล,150,12.0,150,13.0,20.0,8859403310611
49,ตะแกรงกรองน้ำมัน-ด้ามสี 20cm #TL-664,1201,4 ชิ้น,65,1.0,260,65.0,100.0,8859828650681
50,ตีฟองนม แผงกระดาษ #7659 IMM,1201,1 แพค,98,6.0,98,16.0,30.0,
51,ไม้จิ้มฟัน LY-88731 ห่อพลาสติกใส LY,1201,1 โหล,144,12.0,144,12.0,20.0,6990711887318
52,กระชอน ชั้น 16cm SK16 PL,1201,1 แพค,330,6.0,330,55.0,99.0,6971292550167
53,"ถุงห่วงกาแฟ จัมโบ้6""(S.P.)NO.01 BIR",1201,2 โหล,165,12.0,330,14.0,30.0,31105277
54,ตะหลิวม้าลาย-เล็ก#104008 **ไม่รับคืน,1201,6 ชิ้น,57,1.0,342,57.0,89.0,8851991040085
55,ทัพพีม้าลาย - ด้ามดำจีน(เล็ก)**ไม่รับคืน,1201,6 ชิ้น,55,1.0,330,55.0,89.0,8851991030031
56,"กระชอนบดข้าวเลส #12(SKO12,9-19)",1201,2 โหล,195,12.0,390,16.0,25.0,8859999318120
57,"กระบวยด้ามดำ4.5"" L604 PL",1201,1 โหล,185,12.0,185,15.0,25.0,8859999006041
58,ตะหลิวม้าลาย-กลาง(บาร์42102)**ไม่รับคืน,1201,6 ชิ้น,115,1.0,690,115.0,179.0,
59,"ตะหลิวยาว4"" ด้ามดำ#FW-038 ม้าน้ำ",1201,2 แพค,75,6.0,150,13.0,20.0,868930405038
60,"ตะหลิวไม้ยาว4""(บาร์11133)ตราสมอ PLL",1201,6 ชิ้น,16,1.0,75,16.0,25.0,8858477011133
61,"ตะหลิวยาว4""ไม้ HFW-039 ม้าน้ำ MIFL",1201,1 แพค,75,6.0,75,13.0,25.0,868930405039
62,ทัพพีจีนใหญ่ด้ามพลาสติกสี ตราสมอ (P25),1201,1 โหล,175,12.0,175,15.0,25.0,
63,ทัพพีใหญ่ด้ามดำ TP-079 (ต้นสน) TK,1201,1 โหล,135,12.0,135,11.0,20.0,TP-079
64,ทัพพีเล็กด้ามดำ TP-076 (ต้นสน) TK,1201,2 โหล,72,12.0,144,6.0,10.0,TP-076
65,กระชอนสองชั้น ด้ามเลส16ซม.#1416,1201,6 ชิ้น,36,1.0,216,36.0,59.0,6901560214163
66,ช้อนซุปทองด้ามไข่กลม PS-666-1 PL,1201,1 โหล,180,12.0,180,15.0,25.0,8858888999051
67,กระชอนเลสตาข่าย ด้ามไม้(ก้นตัด)#4168,1201,6 ชิ้น,62,1.0,372,62.0,100.0,
68,กระชอน24cm LH-669/LH-5097 ด้ามเลส,1201,6 ชิ้น,44,1.0,264,44.0,79.0,
69,ทัพพีใหญ่ด้ามสี-ม้าน้ำ#120/1(19) SKE,1201,2 โหล,135,12.0,270,11.0,20.0,8859843800030
70,"กระบวยด้ามไม้4"" TP-036(ต้นสน) JK",1201,1 โหล,178,12.0,178,15.0,25.0,TP-036
71,ทัพพีเมลามีนคละสี/ขาว/ชมพู/ฟ้า,1201,1 โหล,98,12.0,98,8.0,20.0,8851871311281
72,คั้นมะนาว-แสตนเลส FW 147 (แผง),1201,6 ชิ้น,39,1.0,235,39.0,69.0,868930405146
73,ทัพพีแขกด้ามพลาสติกสี ตราสมอ PPL,1201,1 โหล,88,12.0,88,7.0,15.0,
74,จานรองแก้ว-การ์ตูน (1X12) (บาร์00079),1201,1 โหล,220,12.0,220,18.0,30.0,8920518900079
75,พายไม้ #0,1201,1 โหล,95,12.0,95,8.0,15.0,10000897
76,คั้นส้มขาตั้ง กลมเล็ก (มีเนียม) KPT,1201,3 ชิ้น,184,1.0,552,184.0,279.0,8857129281023
77,คั้นส้มขาตั้งกลมใหญ่ (มีเนียม) KPT,1201,2 ชิ้น,201,1.0,402,201.0,299.0,
78,"ตะแกรงรองทอด ST 9"" ตื้นมีหู 22cm",1201,6 ชิ้น,63,1.0,378,63.0,99.0,
79,SP 303 ช้อนสีดำ SIT,1201,1 โหล,105,12.0,105,9.0,15.0,8851771115606
80,ตะแกรงกรองน้ำมันด้ามแดง SJ320 (20ซม),1201,4 ชิ้น,57,1.0,228,57.0,89.0,
81,ตะแกรงกรองน้ำมันด้ามแดง SJ322 (22ซม),1201,4 ชิ้น,65,1.0,260,65.0,120.0,
82,ตะหลิวด้ามดำใหญ่ 40ซม. #205 PL,1201,6 ชิ้น,58,1.0,348,58.0,99.0,8859898020513
84,"ตะหลิวโฟกัส-ยาว 4"" #400 (คำ) แบล็คไลท์",1201,1 โหล,395,12.0,395,33.0,59.0,
85,ตะแกรงปิดท่อเลสเหลี่ยม 1 ชิ้น 0956,1201,1 โหล,180,12.0,180,15.0,25.0,8859403309560
86,ตะหลิวไม้ขาวยาว (ไทย) 1*6ชิ้น #KKL017,1201,1 แพค,155,6.0,155,26.0,39.0,30001275
87,ทัพพีไม้ขาวสั้น (ไทย) 1*12ชิ้น #KKL180S,1201,1 โหล,188,12.0,188,16.0,30.0,10001273
88,กระบวยตักน้ำไก่ #1(1*5) VTW,1201,2 แพค,130,5.0,260,26.0,45.0,008890100008
89,กระบวยตักน้ำไก่ #2(1*5) VTW,1201,2 แพค,125,5.0,250,25.0,39.0,008890200005
90,"ตักถ่าน หนา (1""10อัน) CY",1201,2 แพค,190,10.0,380,19.0,30.0,
91,ไหมขัดฟัน 10880 ซอง100PC ขาวฟ้า IMM,1201,1 โหล,168,12.0,168,14.0,25.0,
92,เทปปะหม้อกลาง (10บ.) (P15),1201,2 โหล,62,12.0,124,5.0,15.0,
93,เทปปะหม้อม้วนเล็ก (5บ.),1201,2 โหล,38,12.0,76,3.0,10.0,
94,"กระบวยโฟกัส 4"" #500 (ดำ/แดง) แบล็คไลท์",1201,1 โหล,396,12.0,396,33.0,59.0,2006220076
95,ช้อนส้อมหนา 1คู่ (NO.2) PS-444-14 ด้าม,1201,2 โหล,192,12.0,384,16.0,25.0,8859999444140
96,ช้อนส้อมเกาหลี PS-444-19 (หัวเล็กด้ามยาว),1201,2 โหล,192,12.0,384,16.0,25.0,
98,ช้อนส้อมหนา 1คู่ (NO.2) PS-444-16,1201,2 โหล,192,12.0,384,16.0,25.0,8859999444164
99,ชอล์คมด/แมลงสาบ (ผง) ขวด 50 ตรารถถัง,1201,5 โหล,193,12.0,965,16.0,25.0,
100,ลูกเหม็น 100g (200) ซองเหลือง (20091),1201,5 โหล,180,12.0,900,15.0,25.0,
101,ลูกเหม็น จัมโบ้ 13 (100) (20066) ATM,1201,3 โหล,90,12.0,270,,,
102,ลูกเหม็น จัมโบ้ 16 (201) (20068) ATM,1201,3 โหล,180,12.0,540,,,
103,ลูกเหม็น 800 เม็ดเล็ก (20801) ATM,1201,5 ชิ้น,86,1.0,430,86.0,120.0,
104,ลูกเหม็น 800 จัมโบ้ (20802) ATM,1201,5 ชิ้น,86,1.0,430,86.0,120.0,
105,คัทตัลนัท 100 ก้านจิ๋ว B.Duck (กระปุก) RR,1201,1 โหล,155,12.0,155,13.0,20.0,
106,ดับกลิ่นตลับเล็ก 35g (12040) ATM,1201,2 โหล,106,12.0,212,9.0,15.0,8850535100414
107,คัทตัลบัท 100 ก้าน (1*2) B-Duck (ของแพ),1201,6 โหล,142,12.0,852,12.0,20.0,
108,คัทตัลบัท 100 ก้านจิ๋ว B-Duck,1201,6 โหล,72,12.0,432,6.0,10.0,8850014991205
109,คัทตัลบัท 100 ก้านจิ๋ว B-Duck (กระปุก) RR,1201,1 โหล,155,12.0,155,13.0,20.0,
110,ลิปบอกเงินแท่งดำ 3.2G Jackelin (1*6) FM,1201,6 แพค,58,6.0,348,10.0,20.0,8850722691084
111,ลูกเหม็น 50g (100) ซองฟ้า (20090) ATM,1201,10 โหล,90,12.0,900,8.0,12.0,
112,คัทตัลบัท 200ก้านกระปุก แจ็กซ์เพียว JAXX,1201,2 โหล,178,12.0,356,15.0,25.0,8857126793475
113,คัทตัลบัท กระปุกกลม 300 ก้านฉลากสี,1201,2 โหล,218,12.0,436,18.0,30.0,
114,ถังปูน 10 ค่า SP,1201,2 โหล,137,12.0,274,11.0,20.0,
115,ถังเหลือง 3.5L #703Y LK,1201,2 โหล,343,12.0,686,29.0,49.0,
116,ถังปูน 15 ต่ำ AC,1201,1 โหล,173,12.0,173,,,
117,ถังปูน 15 สี AC,1201,1 โหล,245,12.0,245,20.0,30.0,
118,ถังปูน 15 สี SP,1201,1 โหล,242,12.0,242,,,
119,กะละมังเหลี่ยมสีเข้ม #7007 WCP,1201,1 โหล,194,12.0,194,16.0,25.0,8850000070072
120,กะละมังเหลี่ยม-สีเข้ม #7007 WCP,1201,11 ชิ้น,16,,179,,,
121,กะละมัง 65 สีหวาน ตราเสือ NPC,1201,2 โหล,498,12.0,996,,,
122,กะละมัง 60 สี AC,1201,1 โหล,431,12.0,431,,,
123,ตะแกรงใหญ่ 519 DMT,1201,2 โหล,282,12.0,564,24.0,39.0,
124,ถัง+ฝา 20 ใส NPC,1201,1 โหล,2077,12.0,2077,,,
125,โต๊ะรีดผ้า (จัมโบ้) (1*4) ต-050 LW,1201,1 มัด,860,4.0,860,,,
126,ตะกร้าฝาปิด (กลาง) หูหิ้ว 321/2 VJ,1201,1 โหล,760,12.0,760,,,
127,โต๊ะไม้ ขาดำ (เล็ก) 16*24 PYS,1201,2 ลัง,575,8.0,1150,,,
128,โต๊ะไม้ ขาดำ 24*24 PYS,1201,2 ลัง,517,6.0,1034,,,
129,ตะแกรงกรองน้ำมัน 25.5cm SK255 ด้ามเล็ก,1201,3 ชิ้น,78,1.0,234,78.0,139.0,6551346779692
130,15531 ตะแกรงปิดห่อ14 TLL,1201,1 โหล,180,12.0,180,15.0,,8859796655312
131,ตะเกียบไม้ 1X16คู่ 84524 YW,1201,1 โหล,168,12.0,168,14.0,25.0,1987208845246
132,กล่องล้อ K-1000,1201,6 ชิ้น,271,,1626,,,
133,กล่อง K-1500,1201,6 ชิ้น,440,,2640,,,
134,กล่องล้อ K-1200,1201,6 ชิ้น,366,1.0,2196,366.0,,
135,"คีบสลัด-เล็ก 10"" (หนา) FW-088 แพคครึ่ง",1201,1 โหล,168,12.0,168,14.0,25.0,868930405089
136,กรวย พด.ใส 12cm #15764 IMM,1201,1 โหล,85,12.0,85,7.0,15.0,8859403315764
137,กระชอนพลาสติก #18 PYP,1201,1 แพค,195,6.0,195,33.0,59.0,8859253700265
138,กระชอนพลาสติก #15 PYP,1201,1 แพค,100,6.0,100,17.0,30.0,8859253700258
139,กระชอนพลาสติก #12 PYP,1201,1 แพค,59,6.0,59,10.0,15.0,8859253700241
140,ขันปั้มลายไทย กระเช้า NO.22 M,1201,3 ชิ้น,127,,381,,,
141,ขันน้ำลายพม่า 30ซม 9-30 SB,1201,1 ชิ้น,88,1.0,88,88.0,159.0,8850020301
142,วันปั้มลายไทย NO.26 TM,1201,3 ชิ้น,179,,537,,,
143,วันปั้มลายไทย NO.16 TM,1201,1 โหล,465,12.0,465,,,
144,กรวยพลาสติก #6 CC,1201,1 โหล,93,12.0,93,8.0,15.0,
145,วันปั้มลายไทย 12CM (บาร์01125) TM,1201,1 โหล,290,12.0,290,,,
146,จุกหม้อข้าวกลาง VK,1201,1 โหล,95,12.0,95,8.0,15.0,8190842971965
147,พายพลาสติกสีขาว ใหญ่ #1 (บาร์16770),1201,1 โหล,110,12.0,110,9.0,20.0,8858477016770
148,"คีบสลัดใหญ่15"" (บาง) FW-143 แพคโหล",1201,1 โหล,178,12.0,178,15.0,,868930405141
149,"คีบบาร์บีคิว ยาว15"" FW-090 MIFL",1201,1 โหล,172,12.0,172,,,
150,คีบต่อ-คอใหญ่ FW-075 MIFL,1201,4 โหล,55,12.0,220,5.0,,868930405076
151,"คีบหัวใบไม้ใหญ่13"" FW-082 MIFL",1201,1 โหล,168,12.0,168,14.0,,868930405083
152,"คีบสลัดใหญ่15""(หนา) FW-086 แพคครึ่ง",1201,1 แพค,138,6.0,138,23.0,39.0,888930405087
153,ขูดมะละกอเหลี่ยม 9674 ด้ามฟ้า IMM,1201,1 โหล,190,12.0,190,16.0,25.0,8859403396744
154,ขูดมะละกอ-แผ่นเลสแบน W217(รูเล็ก),1201,3 โหล,69,12.0,207,6.0,12.0,82113616217
155,ตักน้ำแข็งมิเนียม CCD-2 CCD,1201,1 โหล,490,12.0,490,41.0,79.0,178000301
156,"คีบหัวใบไม้สั้น9"" FW-083 MIFL",1201,2 โหล,89,12.0,178,7.0,15.0,868930405084
157,จุกกรองน้ำใบพัดคอยาวสายถักจุกหมุน,1201,1 แพค,93,6.0,93,16.0,25.0,8859403398892
158,จุกกรองน้ำ15824 หัวฝักบัวสีเงิน IMM,1201,6 ชิ้น,15,1.0,90,15.0,25.0,8859403315824
159,คีบน้ำแข็งด้ามสีใหญ่#71 ตราผึ้ง BEE,1201,1 โหล,185,12.0,185,15.0,25.0,60200098000014
160,คีบน้ำแข็งด้ามสีเล็ก#72 ตราผึ้ง BEE,1201,1 แพค,88,6.0,88,15.0,25.0,60200098000013
161,กระชอนร่อนแป้ง 26061 ขอบเลส TLL,1201,6 ชิ้น,15,1.0,90,15.0,25.0,8859830660616
162,กะละมังเลส-เกาหลี ก้นตัด(เคลือบสีลาย),1201,6 ชิ้น,70,1.0,420,70.0,120.0,6959657702420
163,ขูด 218 KW,1201,3 ชิ้น,90,1.0,270,90.0,139.0,8851130050760
164,เปิดขวด หัวแหลม229 ด้ามฟอง,1201,1 โหล,139,12.0,139,12.0,20.0,8859251702275
165,กรวย พด.ใส12cm #15764 IMM,1201,1 โหล,85,12.0,85,7.0,15.0,8859403315764
166,พายตัดเค้กพิซซ่า75136 ด้ามไม้ ZC,1201,6 ชิ้น,15,1.0,90,15.0,25.0,1988065751367
167,เปิดไวน์#5291 แผงแดง(จับราคา) IMM,1201,4 ชิ้น,75,1.0,300,75.0,139.0,8859403352917
168,"ทัพพีเลส-ยักษ์10"" TP-231 TK",1201,1 โหล,190,12.0,190,16.0,25.0,TP-231
169,กรรไกรแกะปู16208 TLL,1201,1 โหล,180,12.0,180,15.0,25.0,
170,ตักไอศครีมมีเนียม#M ไทย(CCD),1201,6 ชิ้น,44,,264,0.0,69.0,1780005020003
171,ขูดมะพร้าว2หัวม้า/กระต่าย(อย่างดี) NK,1201,1 โหล,95,12.0,95,8.0,15.0,
172,"ขูดมะพร้าว2หัวมันเล็ก1""10 NK",1201,1 แพค,62,10.0,62,6.0,10.0,30000951
173,แกะหอยแครง9887 IMM,1201,6 ชิ้น,14,1.0,84,14.0,25.0,
174,หม้ออวยหม้อหูหิ้ว24ซม.(ร่มไม่รับเปลี่ยน),1201,2 ชิ้น,157,1.0,314,157.0,259.0,8859312090450
175,หม้ออวยหม้อหูหิ้ว26ซม.(ร่มไม่รับเปลี่ยน),1201,2 ชิ้น,178,1.0,356,178.0,279.0,8859312090467
176,ขันเลส #18ซม (20u) #W018 SSS (PL),1201,1 โหล,194,12.0,194,16.0,30.0,8859999201880
177,ลวกเส้น-เลสตาข่าย12ซม S-102,1201,6 ชิ้น,98,1.0,588,98.0,159.0,994234572122
178,ลวกเส้น-เลสตาข่าย12ซมด้ามยาวเลสแบน,1201,6 ชิ้น,87,1.0,522,87.0,159.0,6954260910934
179,บังแดดหน้ารถสีเงิน60*130ซม #2409,1201,1 โหล,180,12.0,180,15.0,25.0,8859403324099
180,ดอกบัวตูมก้านยาว-คละสี (1x12) AMS,1201,2 โหล,189,12.0,378,16.0,25.0,126500350000004
181,ใส่ขวดน้ำติดรถยนต์(พลาสติก)#7100,1201,1 แพค,90,6.0,90,15.0,29.0,8859403371000
182,หม้อแขกตราร่ม #26 UMA,1201,3 ชิ้น,108,1.0,324,108.0,179.0,8859312091020
183,ป้ายพรบ-สี่เหลี่ยมกรอบใสหัวจุก+9660,1201,1 โหล,165,12.0,165,14.0,25.0,1988032196603
184,พายซิลิโคนด้ามใส 10798 (1X12/1X24),1201,1 โหล,190,12.0,190,16.0,25.0,8859403310798
185,แปรงซิลิโคน-ด้ามใสหุ้ม 10797,1201,1 โหล,185,12.0,185,15.0,25.0,8859403310797
186,พายซิลิโคน-ด้ามใสหุ้ม 10796 (1X12/1X24),1201,1 แพค,360,24.0,360,,,
187,พายซิลิโคน10801 (1X12/1X24) IMM,1201,1 โหล,185,12.0,185,,,
188,ผ้าม้วน1ชิ้น(ผ้าเอนกประสงค์)(1X12)(p25),1201,2 โหล,170,12.0,340,14.0,25.0,
189,กาวช้างแท้ อัลโก้ QS,1201,5 โหล,180,12.0,900,15.0,25.0,8888299751184
190,หมวกอาบน้ำการ์ตูน-จัมโบ้,1201,2 โหล,73,12.0,146,6.0,,
191,หมวกอาบน้ำมุกเล็ก45บ UD,1201,2 โหล,73,12.0,146,,,
192,สายวัด01385/PN8977 KKA,1201,2 โหล,50,12.0,100,4.0,10.0,0900000001385
193,ด้ายเย็บผ้าวีนัส VENUS 1*12ชิ้น (หลอด),1201,2 แพค,152,12.0,304,,,
195,"เข็มเย็บกระสอบ5""10ชิ้น#4278 (112)",1201,3 โหล,178,12.0,534,15.0,,1988032142785
196,โบว์เน็ต01269 (1*6) KKA,1201,4 แพค,145,6.0,580,,,
197,ป้ายราคา115-ถุงแดง(112)16708 BKS,1201,1 โหล,145,12.0,145,12.0,20.0,8851709016708
198,เทปโฟม2หน้า3M แผงแดง#CAT-110,1201,6 ชิ้น,45,1.0,270,45.0,69.0,
199,บิลเงินสด-ปกน้ำตาล28ชุด เบอร์2 (110),1201,6 แพค,80,10.0,480,8.0,15.0,8858745960705
200,บิลเงินสด-ปกน้ำตาล28ชุด เบอร์3 (110),1201,6 แพค,50,10.0,300,5.0,10.0,8858745960712
201,ปากกาเมจิไพลอทตรากล่อง H-110 แดง(P10),1201,1 กล่อง,49,12.0,49,4.0,10.0,8851552307480
202,ป้ายเชสราคาขึ้น10884A/B (91.3.5) IMM,1201,1 โหล,120,12.0,120,10.0,20.0,8859403310884
203,ลวดอเนกประสงค์เส้นเล็ก#SC-197 (112),1201,1 โหล,180,12.0,180,15.0,25.0,
