ลำดับ,รายการ,Worksheet,จำนวน,ราคา/หน่วย,หน่วย,จำนวนเงิน,cost,ราคาขาย,Barcode
204,ลวดอเนกประสงค์เส้นใหญ่(วงใหญ่) KAWA,1201,1 โหล,180,12.0,180,15.0,25.0,sc062
205,ชุดสไลด์เดี่ยว#8040 (A-301)(100) PL,1201,1 โหล,84,12.0,84,7.0,15.0,
206,ขันน้ำลายพม่า30ซม9-30 SB,1201,4 ชิ้น,88,,352,0.0,159.0,
207,แม็กซ์ใหญ่10239/DL0306 (จับราคา) IMM,1201,6 ชิ้น,38,,228,,,
208,ไส้แม็กซ์กล่องสีขาวK.PLATINUM(1*2) PV,1201,2 กล่อง,54,24.0,108,,,
209,ไส้แม็กซ์เบอร์10กล่องเขียว-MAX(1*2),1201,1 กล่อง,197,24.0,197,,,
210,ตัวตัดเทป OP กล่องกระดาษ #47582,1201,1 โหล,175,12.0,175,15.0,,8859403375824
211,นาฬิกาปลุก สีหวานหน้าการ์ตูน JA-1001,1201,2 ชิ้น,46,1.0,92,46.0,100.0,1962090021001
212,นาฬิกาปลุก หน้าปัดสี-เลขนูน JA-1001H-C,1201,1 ชิ้น,46,1.0,46,46.0,100.0,1962090041001
213,เทปกาวอเนกประสงค์บิวทิว 5มม.,1201,3 ชิ้น,29,1.0,87,29.0,69.0,8851709018375
214,สมุดบัญชีปกแข็ง 29988 CKD,1201,1 แพค,90,6.0,90,15.0,30.0,8858921129988
215,กระดานหนีบ A4 ใหญ่ #1084 (ไม้2),1201,6 ชิ้น,15,1.0,90,15.0,25.0,8859403310849
216,เทปโฟมลายเขียว(เล็ก) TVT (P5),1201,3 โหล,28,12.0,84,2.0,5.0,670007
217,แม็กซ์ใหญ่+ลูก #6207 (4362),1201,1 แพค,193,6.0,193,32.0,69.0,8859403343625
218,แม็กซ์+ลูก+ตัวแกะ 10229 /DL6579-3,1201,6 ชิ้น,50,1.0,300,50.0,89.0,
219,บิลเงินสด-ปกน้ำตาล28ชุด เบอร์1 (1*10),1201,6 แพค,85,10.0,510,9.0,20.0,8858745960699
220,ปากกาเมจิไพลอท ตราม้า กล่อง H-110 สีดำ(P10),1201,1 กล่อง,49,12.0,49,4.0,10.0,8851552307473
221,แม็กซ์ ต.หัวโตเดี่ยว #21002 TLL,1201,1 โหล,180,12.0,180,15.0,25.0,8859830610024
222,กระดาษคาร์บอน-สีน้ำเงิน A5 (1*100แผ่น),1201,2 กล่อง,65,1.0,130,65.0,120.0,8850913004181
224,ไส้แม็กซ์กล่องเขียว K.PLATINUM (1*2) PV(p5),1201,1 กล่อง,54,24.0,54,2.0,,
225,สมุดริมลวด-กลาง A5 #84253 W,1201,1 โหล,105,12.0,105,9.0,15.0,1987208842535
226,ซองจดหมายชมพูสั้น ตราเพชร /777 TC,1201,1 กล่อง,195,20.0,195,,,
227,กาวปะยางในรถเครื่องหนัง2ชิ้นไส้ไก่,1201,1 โหล,180,12.0,180,15.0,25.0,SC 114
228,ยางอุดหัวฉีดที่ชำระฝักบัวและอื่น10ชิ้น,1201,1 โหล,175,12.0,175,15.0,25.0,SC 091
229,น้ำยาบัดกรีตะกั่วอย่างดี #SC-127,1201,1 โหล,180,12.0,180,15.0,25.0,SC 127
230,ปะจักรยาน8ชิ้น #SC-115 SCE,1201,1 โหล,180,12.0,180,15.0,25.0,SC 115
231,กระจาดร่อนแป้ง32ซม #6905,1201,6 ชิ้น,16,1.0,96,16.0,25.0,8859403369052
232,พวงกุญแจตุ๊กตาผ้า 350/ล. SAM(p39),1201,1 แพค,175,6.0,175,29.0,39.0,62047000000210
233,ไฟฉายชาร์ตพกพาX3 +สายUSB PAE,1201,3 ชิ้น,38,1.0,114,38.0,69.0,8859800715308
234,ไฟฉายชาร์ตพกพา PAE 535 1จุด,1201,3 ชิ้น,38,1.0,114,38.0,69.0,8859800700144
235,00804 กิ๊บหนีบใหญ่ คละแบบคละสี (P20),1201,4 โหล,140,12.0,560,12.0,20.0,122012500000804
236,กิ๊บหนีบผม10722 เหลี่ยมช่อง (P20),1201,1 โหล,140,12.0,140,12.0,20.0,8859403310722
237,ขันปั้มลายไทย NO.14 TM,1201,1 โหล,390,12.0,390,33.0,59.0,18859534101146
238,หูฟังสมอลทอร์ค TK-09 คละแบบโชว์,1201,1 แพค,155,10.0,155,16.0,29.0,6985158512091
239,00082 กิ๊บแบน (1*2) คละแบบ (P20),1201,3 โหล,140,12.0,420,12.0,20.0,122012400000082
240,ออมสิน ยาดมโป๊ยเซียน185 GM,1201,10 แพค,44,5.0,440,,,
241,สูบลมมือ สีพาสเทล29cm #2107 SBR,1201,1 โหล,178,12.0,178,15.0,25.0,6891217121077
242,ขวดนม2ออนซ์ กลม-RB113 ROY,1201,2 แพค,79,6.0,158,,,
243,ปัดแก้มอุทัย UTA-TAVEE (1*12) LP,1201,2 โหล,100,12.0,200,8.0,20.0,885712528301
244,ผ้ารองรีดฟอง18*38สะท้อนความร้อนสี,1201,6 ชิ้น,59,,353,,,
245,หมากรุกกล่องคละสี (112ชิ้น) T99,1201,3 ชิ้น,35,1.0,105,35.0,69.0,80511113
246,ลูกแก้วถุงตาข่ายใหญ่25ชิ้น #1142 IMM,1201,1 โหล,175,12.0,175,15.0,25.0,819023311426
247,ลูกแก้วถุงตาข่ายเล็ก100ชิ้น #1141 IMM,1201,1 โหล,175,12.0,175,15.0,25.0,07765717
248,หมวกอาบน้ำการ์ตูน-เล็ก,1201,2 โหล,65,12.0,130,,,
249,ตุ๊กตาชาย-หญิง (แพคคู่)(บาร์00978) TCJ,1201,4 คู่,28,1.0,112,28.0,59.0,30000978
250,ตุ๊กตาชาย-หญิง(กากเพชรAAA)(แพคคู่),1201,4 คู่,39,1.0,156,39.0,69.0,30001433
251,ตุ๊กตาช้างม้า(กากเพชรAAA)(แพคคู่),1201,4 คู่,39,1.0,156,39.0,69.0,30001432
252,เชือกผ้าถักแบบลาย ม.22มล.(บาร์44565),1201,3 แพค,378,6.0,1134,,,
253,น้ำหอมขวดแก้วก้านไม้15ML(MAWEL),1201,1 โหล,168,12.0,168,,,
254,ท่อย่นน้ำทิ้ง1m 10030 IMM,1201,6 ชิ้น,16,1.0,96,16.0,25.0,8859403310030
255,สายรัดไนล่อนสีดำPP&DD(10ม) ขนาด,1201,1 โหล,84,12.0,84,7.0,15.0,8522123456905
256,ปืนยิงกาวแผงใส-ใหญ่40W 39#0250 IMM,1201,1 แพค,150,6.0,150,25.0,59.0,8859403302509
257,หัวแร้งแท่งยาว DS-15193 แผงเขียว DS,1201,2 ชิ้น,69,1.0,138,69.0,100.0,8859813351937
258,ปืนยิงกาว-ซิลิโคลน MOSUCOSA(เหล็ก),1201,1 ชิ้น,36,,36,,,
259,เชือกผ้าแบนเอนกประสงค์ สีล้วน15ม.,1201,2 โหล,150,12.0,300,13.0,20.0,00000017
260,หูฟัง SMALL TALK (ซองซิป)#HF603,1201,1 โหล,180,12.0,180,15.0,30.0,2882001934120
261,โซ่จักรยานหุ้มสลิง10694(12*800mm),1201,1 โหล,185,12.0,185,15.0,25.0,
262,สีสเปรย์ RED FOX-270g#220/220 สีเทา,1201,6 ชิ้น,38,1.0,228,38.0,50.0,8850747802205
263,00208 พวงกุญแจตุ๊กตาผ้า140/ล.SAM,1201,1 โหล,140,12.0,140,12.0,25.0,2047000000208
264,กล่องเหลี่ยม8028 ผืนผ้าฝาลายจุดในตัว สี,1201,1 โหล,195,12.0,195,,,
265,กล่องแช่4401 SRT,1201,1 โหล,190,12.0,190,16.0,25.0,8859411901442
266,กล่องฟินิกส์ ผืนผ้า#294-2 BG,1201,1 โหล,185,12.0,185,15.0,25.0,8859535907344
267,พวงพริก-กล่องหิ้ว(สีหวานNEW)1301N,1201,1 โหล,195,12.0,195,16.0,25.0,8810000001301
268,กล่องเหลี่ยม#5(ตัวขาวฝาใส)ตรากระทิง,1201,1 โหล,219,12.0,219,,,
269,กล่องผืนผ้าขอบสี911-1 BG,1201,1 โหล,180,12.0,180,15.0,25.0,8859535904664
270,ใบขัดด้ามเตารีดเดี่ยว(ด้ามแปรงขัดพื้น),1201,2 โหล,93,12.0,186,,,
271,แปรงเตารีดทองเหลือง SBL-106 พระอาทิตย์,1201,1 แพค,268,6.0,268,45.0,,8851669993729
272,รองเท้าใส่ในบ้าน(สายการบิน)หัวเปิด170 (P25),1201,1 โหล,170,12.0,170,14.0,25.0,
273,แปรงขัดรองเท้า666 แปรงไทย,1201,1 โหล,154,12.0,154,13.0,20.0,8851938800062
274,ถุงคลุมเสื้อผ้า สั้น24x32(60x80ซม),1201,1 โหล,180,12.0,180,15.0,25.0,310022432
276,ถุงเพาะชำ26 0.15มม RP,1201,1 โหล,175,12.0,175,15.0,,1070206
277,ถุงเพาะชำ3x7 0.15มม RP,1201,1 โหล,175,12.0,175,15.0,,1070307
278,แปรงซักเสื้อ แป้นไม้(ไดโน) NCL,1201,1 โหล,114,12.0,114,10.0,15.0,01800463
279,แปรงซักเสื้อขนใส อีสแมน S-09 BB,1201,1 โหล,170,12.0,170,14.0,20.0,8851938900458
280,แปรงซักผ้าขนนม แป้นสีบรอนซ์333 CC,1201,8 โหล,108,12.0,216,9.0,15.0,
281,แปรงซักผ้าแป้นไม้-สีนม (ตราสมอ),1201,2 โหล,182,12.0,364,15.0,25.0,8851938800109
282,แปรงซักผ้า (ไดโน) แป้นไม้-ขนสีนม NCL,1201,2 โหล,114,12.0,228,10.0,15.0,01800456
283,แปรง 2 สีใหญ่ CTB-09 ตราสมอ BB,1201,2 โหล,217,12.0,434,,,
1,โหลเหลี่ยมใหญ่ (คลาสิก) 048-X BG,1202,1 โหล,180,12.0,180,15.0,25.0,8859535904145
2,กล่องเหลี่ยม1155 (ฝาใส-สีใส) V-NICE,1202,1 โหล,135,12.0,135,11.0,20.0,8810000001155
3,กล่องล็อค4ด้าน8025 ผืนผ้า ใส SET LOCK,1202,1 โหล,195,12.0,195,16.0,25.0,9980001238025
4,กล่องเหลี่ยม ล็อคด้าน302 (ขาวใส) SMT,1202,1 โหล,209,12.0,209,17.0,25.0,8851036025596
5,กล่องเหลี่ยม ตัวใส-ฝาใส MG9005-A,1202,1 โหล,195,12.0,195,16.0,25.0,8810020009005
6,เขียงมะขามกลม 9 OT,1202,5 ชิ้น,63,1.0,315,63.0,100.0,10000887
7,กล่องเหลี่ยมผืนผ้า สีโมเดิร์น#2 #9004,1202,6 ชิ้น,17,2.0,102,9.0,15.0,8810010090042
8,กล่องล็อค B-448 ตัวใสฝาใส (ผืนผ้า),1202,1 โหล,190,12.0,190,16.0,25.0,8859535909706
10,กล่องล็อค SUPER LOCK6501 (กลม) สีฟ้า,1202,1 โหล,210,12.0,210,18.0,30.0,8851251165015
11,แก๊สเติมไฟแช็ค BUGA 200G. ใหญ่,1202,1 โหล,458,12.0,458,38.0,60.0,
12,แก๊สเติมไฟแช็ค BUGA 70G. กลาง,1202,1 โหล,358,12.0,358,30.0,50.0,
13,กล่องเหลี่ยม2161 W,1202,3 โหล,133,12.0,399,11.0,20.0,8858778509223
14,กล่องเหลี่ยม001-1 (ตัวใส-ฝาสี) AY,1202,1 โหล,187,12.0,187,16.0,25.0,8851246705011
16,ขวดสเปรย์เหลี่ยมลาย50ml #6343 IMM,1202,1 โหล,120,12.0,120,,,
17,เขียงพลาสติก-เล็ก NO.1693,1202,1 โหล,146,12.0,146,12.0,20.0,8859415671693
18,เขียงพลาสติก-ใหญ่ NO.167 VR,1202,1 โหล,254,12.0,254,21.0,39.0,
19,เช็ดกระจก ฟองน้ำ-ด้ามสั้น OK,1202,7 ชิ้น,39,1.0,273,39.0,69.0,8859560501432
20,โซดาเกล็ดไฟ(1*20) KTH,1202,2 ลัง,640,20.0,1280,32.0,59.0,
21,กล่องเหลี่ยม กดล็อค(เล็ก)#112 ฝาขาว,1202,1 โหล,92,12.0,92,8.0,15.0,8858778512551
22,ขวดโหลกลมฝาสีหวาน+ช้อน311-1 AY,1202,1 โหล,93,12.0,93,8.0,15.0,8851246852173
23,กระปุกกลม ช้อน3002 AY,1202,1 โหล,93,12.0,93,8.0,15.0,8851246703451
24,กล่องเหลี่ยม589 ขาวใส SMT,1202,1 โหล,115,12.0,115,,,
25,กล่องเหลี่ยมใหญ่585-M(200) ผืนผ้า SMT,1202,1 โหล,198,12.0,198,,,
26,กล่องล็อค4ด้าน8027 SET LOCK SW,1202,1 โหล,195,12.0,195,16.0,25.0,9980001238027
27,โหลฝายิ้ม958 JOT,1202,1 โหล,210,12.0,210,18.0,30.0,8851201001387
28,กล่องแช่เหลี่ยม4424 SRT,1202,1 โหล,233,12.0,233,19.0,35.0,8859411907079
29,ฝาซี36 สีเข้ม SRT,1202,1 โหล,98,12.0,98,,,
30,กล่องเหลี่ยม-เล็ก585-S SMT,1202,1 โหล,60,12.0,60,5.0,10.0,8851036033041
31,โหลกลมกลาง(ฝาเกลียว) PJD5-M SMT,1202,1 โหล,99,12.0,99,,,
32,โหลเหลี่ยมมน048-M (กลาง) BG,1202,1 โหล,90,12.0,90,8.0,15.0,8859535904336
33,เหยือกเพชรกลมใส200 #559 VT,1202,1 โหล,205,12.0,205,17.0,30.0,1000000559
34,กล่องผืนผ้า#8036 จุกปล่อยอากาศ SW,1202,1 โหล,195,12.0,195,16.0,25.0,9980001238036
35,กล่องเหลี่ยม001-2 ตัวใส ฝาขาว #001-R,1202,1 โหล,186,12.0,186,,,
36,กล่องเหลี่ยมใหญ่ สีพลาสเทล 584N V-NICE,1202,1 โหล,195,12.0,195,16.0,25.0,5550000000584
37,ไม้ตีแมลงวัน 383 NUT (P7),1202,2 โหล,45,12.0,90,4.0,7.0,129990001000008
38,ปิ่นโตลายไทย4ชั้น14-4 TM,1202,3 ชิ้น,274,,822,,,
39,หม้อหู-โทรศัพท์ #18,1202,1 โหล,995,12.0,995,,,
40,กระทะม้วนขอบ#33 ร่ม(ไม่รับเปลี่ยน) UM,1202,1 โหล,693,12.0,693,,,
41,หม้อด้ามร่ม#16 (ไม่รับเปลี่ยน) UM,1202,1 โหล,693,12.0,693,,,
42,หม้อด้ามร่ม#18 (ไม่รับเปลี่ยน) UM,1202,1 โหล,989,12.0,989,,,
43,ปิ้งปูจัมโบ้ BOOM,1202,1 โหล,465,12.0,465,,,
44,เหยือกลายไทย NO.1.3 TM,1202,1 โหล,1875,12.0,1875,156.0,239.0,8859534105017
45,กระป๋องกาแฟ ปากต่อ#16 JRR,1202,3 ชิ้น,85,,255,,,
46,แก้วหูเลส8cm(201) หัวช้าง JG,1202,10 โหล,155,12.0,1550,,,
47,"วางเค้กกลาง#2 (M) VS,BOMM",1202,2 โหล,275,12.0,550,,,
48,"วางเค้กใหญ่#1 (L) VS,BOMM",1202,2 โหล,365,12.0,730,,,
49,"วางเค้กจัมโบ้#0 (LL) VS,BOMM",1202,2 โหล,480,12.0,960,,,
50,ช้อนส้อมหัวช้าง-บาง(กล่องฟ้า) JG,1202,3 กุรุส,535,12.0,1605,45.0,69.0,
51,ช้อนส้อมดอกไม้ FW016 (กล่องเขียว),1202,3 กุรุส,680,12.0,2040,57.0,100.0,
52,กิ๊บหนีบเลสหัวก้ามปู14#4037 TLL,1202,1 โหล,180,12.0,180,15.0,25.0,1988032140378
53,ถาดเหลี่ยม22*30.5cm Rilakkuma,1202,1 โหล,194,12.0,194,16.0,25.0,8859099903035
54,ถาดเหลี่ยม HS-0110 คละสี(ขาว/ครีม/เทา),1202,2 โหล,197,12.0,394,16.0,29.0,SIPS01110
55,ถาดเหลี่ยม720 สีหวาน/ลาย CK,1202,2 โหล,197,12.0,394,,,
56,ถาดเหลี่ยม590 สีเนื้อ(PS) SMT,1202,2 โหล,195,12.0,390,16.0,25.0,8851036029716
57,สำลีม้วนโจโจ้40G RJR,1202,2 โหล,58,12.0,116,,,
58,ตะกร้าไต่ราว47 สีหวาน SW,1202,1 โหล,95,12.0,95,8.0,15.0,9980101230047
59,ลิ้นชัก A4 ชั้นใส โครงสี #2011-2,1202,4 ชิ้น,99,,396,,,
60,ขันน้ำ1115-1DN DISNEY BG,1202,2 โหล,200,12.0,400,17.0,30.0,
61,ขันด้าม18ซม รีลัคคุมะ019-7 GW,1202,1 โหล,226,12.0,226,19.0,30.0,8859099902854
62,ไก่บีบ #15821 IMM,1202,1 โหล,168,12.0,168,,,
63,SB001-WHITE ช้อนชาบูด้ามยาวสีขาว FC,1202,2 โหล,95,12.0,190,8.0,15.0,6976510162412
64,ขันน้ำ20-8 โดเรมอน สีหวาน GW,1202,3 โหล,194,12.0,582,16.0,25.0,
65,ถังหิ้ว10 สี OS,1202,1 โหล,172,12.0,172,14.0,25.0,050101021
66,ขันน้ำ22-8 โดเรมอน(คละสี) GW,1202,1 โหล,199,12.0,199,17.0,25.0,8859099901819
67,ถาดกลม32ซม. เรนโบว์ T2414 TRP,1202,2 โหล,200,12.0,400,17.0,29.0,20002414
68,ขันน้ำ20ซม เกรดA1113-1DN DISNEY BG,1202,3 โหล,200,12.0,600,,,
69,ฟิวเจอร์บอร์ดผืนผ้า-ใหญ่ คละสี8165,1202,1 โหล,180,12.0,180,,,
70,ฟิวเจอร์บอร์ดผืนผ้า-ใหญ่ สีขาวล้วน8165,1202,1 โหล,180,12.0,180,,,
71,ฟิวเจอร์บอร์ดจัมโบ้-คละสี122*65 MN,1202,1 โหล,270,12.0,270,,,
72,ตักลูกน้ำด้าม PVC #9 PTT,1202,1 โหล,205,12.0,205,17.0,30.0,
73,ตักลูกน้ำด้าม PVC #5 PTT,1202,1 โหล,115,12.0,115,10.0,20.0,8855137002128
74,ตักลูกน้ำด้าม PVC #4 PTT,1202,1 โหล,100,12.0,100,8.0,15.0,
75,แปรงล้างขวดคู่10บ.15742 ถุงลาย IMM,1202,1 โหล,93,12.0,93,8.0,15.0,8859403315742
76,แปรงล้างขวดคู่15740 หัวแฉก IMM,1202,1 โหล,190,12.0,190,16.0,25.0,8859403315740
77,ริบบิ้นม้วน-ดิ้นทอง(ระฆัง)12MM(P20),1202,3 แพค,125,10.0,375,13.0,20.0,
78,แปรงล้างห้อง15924 หัวกลมด้าม พอปลาย,1202,1 แพค,98,6.0,98,16.0,25.0,8859403315924
79,กล่องเหลี่ยมใหญ่74-72 DB,1202,1 โหล,267,12.0,267,22.0,39.0,
80,กล่องแซ่4402 SRT,1202,6 ชิ้น,25,,150,0.0,39.0,8859411901435
81,กระจกสี่เหลี่ยมFSM1-25 วินโดว์หน้าหมี,1202,2 โหล,78,12.0,156,7.0,15.0,
82,คาดผม/ผ้าคาดผม42บ. (P10),1202,1 แพค,42,12.0,42,4.0,10.0,401615
83,คาดผม/ผ้าคาดผม24บ. (P5),1202,1 แพค,24,12.0,24,2.0,5.0,
84,กล่องแช่เหลี่ยม4425 SRT,1202,2 โหล,308,12.0,616,26.0,45.0,8859411907093
85,กล่องถนอมอาหาร-เหลี่ยมจิ๋ว216 W,1202,2 โหล,87,12.0,174,7.0,15.0,8858778509216
86,กล่องถนอมอาหาร-จัตุรัสจิ๋ว218 W,1202,1 โหล,87,12.0,87,7.0,15.0,8858778505218
88,โหลกลมฝาเกลียว7ลิตร6002N ตัวใสฝาสี,1202,1 โหล,422,12.0,422,,,
89,โหลกลมฝาเกลียว6003 VJ,1202,1 โหล,265,12.0,265,,,
91,มีดด้ามพลาสติก211P KW,1202,2 โหล,892,12.0,1784,,,
92,มีดด้ามพลาสติก173P KW,1202,2 โหล,527,12.0,1054,,,
93,มีด199 KW,1202,1 โหล,788,12.0,788,,,
94,มีด194 KW,1202,1 โหล,237,12.0,237,,,
95,มีด193 KW,1202,3 โหล,200,12.0,600,,,
96,มีด195 KW,1202,1 โหล,357,12.0,357,,,
97,มีด171 KW,1202,2 โหล,715,12.0,1430,,,
98,มีดด้ามพลาสติก171P KW,1202,2 โหล,535,12.0,1070,,,
99,มีด21 KW,1202,1 โหล,1158,12.0,1158,,,
101,มีด478 KW,1202,2 โหล,512,12.0,1024,,,
102,ปอกผลไม้ ตัดวุ้น#568(201) PL,1202,1 โหล,185,12.0,185,,,
103,มีดหั่นถ้วยเล็ก1172 BR FC,1202,1 โหล,118,12.0,118,,,
104,ด้ามกระทะใหญ่ ปลายมล VK,1202,2 โหล,167,12.0,334,,,
105,ตีไข่ด้ามเลส 84044,1202,1 โหล,168,12.0,168,,,
106,ตีไข่ 10794 IMM,1202,6 ชิ้น,15,,90,,,
107,ถาดกลมเลส32cm LH-4413 TLH,1202,1 โหล,320,12.0,320,,,
108,ถาดกลมเลส28cm LH-4411 TLH,1202,6 ชิ้น,18,,108,,,
109,ช้อนกลาง16ซมปลายงอ(12ชิ้น)#SK510,1202,2 โหล,170,12.0,340,,,
110,กิ๊บหนีบ#01912 ดอกไม้เล็ก KKA,1202,1 โหล,130,12.0,130,11.0,20.0,
111,มีดโกนกันคิ้ว#01998 (1×6) KKA,1202,1 โหล,160,12.0,160,13.0,20.0,6956726822942
112,ยางยึด1นิ้ว2เมตร(3ส.)20บ.(บาร์45601),1202,1 โหล,125,12.0,125,,,
113,กระเป๋าสตางค์#24447 หนังซิปเล็ก JCK (P15),1202,1 โหล,85,12.0,85,7.0,15.0,
114,ยางรัดผม100เส้น สปริงเล็ก#01706 KKA (P5),1202,1 ห่อ,125,100.0,125,1.0,5.0,0900001706
115,ตะขอติดผนังขาคู่10560 IMM,1202,1 โหล,168,12.0,168,14.0,20.0,
116,แผ่นแปะผมกล่อง01661 KKA,1202,1 โหล,170,12.0,170,14.0,25.0,6975712780059
117,เข็มตลับตัดด้วยสายวัด(บาร์36316),1202,1 โหล,90,12.0,90,8.0,15.0,
118,ใบมีดด้ามเขียว ด้ามทอง SAYURI 40ใบ (P5),1202,1 กล่อง,78,1.0,78,78.0,5.0,
119,ขอแขวน1*2 (9648)#9468 หมุนขาเหล็ก,1202,1 โหล,185,12.0,185,15.0,25.0,6975043790567
120,กระจกด้าม10329/13029 เหลี่ยม IMM,1202,1 โหล,375,12.0,375,31.0,49.0,
121,พัดพลาสติกด้ามขาวคละลาย SAM (P20),1202,1 โหล,140,12.0,140,12.0,20.0,122049000000003
123,หวีจัมโบ้บิ๊ก สีชมพูฟ้า #105403 JSK (P10),1202,1 โหล,42,12.0,42,4.0,10.0,105403
124,หวีด้ามสายเก่าเล็ก สีไม้#101907 JSK (P10),1202,1 โหล,45,12.0,45,4.0,10.0,
125,ทัพพีเลสยักษ์#0 TP-231 TK,1202,1 โหล,190,12.0,190,16.0,25.0,TP-231
126,ทัพพีแขกด้ามพลาสติกสี ตราสมอ PPL (P15),1202,1 โหล,88,12.0,88,7.0,15.0,
127,"สดึงพลาสติกสีหวาน5"" TVA (P20)",1202,6 ชิ้น,11,,66,0.0,20.0,
128,กล่องยากันหิ้ว (P20),1202,1 โหล,135,12.0,135,11.0,20.0,30001029
129,หิ้งพระ#9 ขาเดียว(1*4ตัว) DT,1202,1 แพค,405,4.0,405,,,
130,หิ้งพระ#13 ขาเดียว(1*4ตัว) DT,1202,1 แพค,476,4.0,476,,,
131,หิ้งพระ#20 (ขาคู่)(1*2ตัว) DT,1202,1 แพค,465,2.0,465,,,
132,หิ้งพระ#18-ขาเดียว(1*4ตัว) DT,1202,1 แพค,690,4.0,690,,,
133,หิ้งพระ#16-ขาเดียว(1*4ตัว) DT,1202,1 แพค,645,4.0,645,,,
1,ตู้ผ้าลดโลกร้อน 73x115x45ซม PWP,1203,6 ชิ้น,339,1.0,2034,339.0,499.0,01-113-PWC
