new_product,matched_old_product,score
ตะกร้าเหลี่ยมเตี้ย 4000 สีเข้ม OS,ตะกร้าเหลี่ยมเตี้ย 4000 สีเข้ม OS,1.0000001192092896
ตักน้ำแข็งมิเนียม CCD-2 CCD,ตักน้ำแข็งมิเนียม CCD-2 CCD,1.0000001192092896
ขูด 218 KW,ขูด 218 KW,1.0000001192092896
หัวแร้งแท่งยาว DS-15193 แผงเขียว DS,หัวแร้งแท่งยาว DS-15193 แผงเขียว DS,1.0000001192092896
จุกหม้อข้าวกลาง VK,จุกหม้อข้าวกลาง VK,1.0000001192092896
กระชอนพลาสติก #15 PYP,กระชอนพลาสติก #15 PYP,1.0000001192092896
แปรง 2 สีใหญ่ CTB-09 ตราสมอ BB,แปรง 2 สีใหญ่ CTB-09 ตราสมอ BB,1.0
ตะแกรงเหลี่ยม 900 สีเข้ม RTH,ตะแกรงเหลี่ยม 900 สีเข้ม RTH,1.0
ตะแกรงเหลี่ยม 111 GL,ตะแกรงเหลี่ยม 111 GL,1.0
กะละมัง 65 สีหวาน ตราเสือ NPC,กะละมัง 65 สีหวาน ตราเสือ NPC,1.0
กล่องล้อ K-1000,กล่องล้อ K-1000,1.0
ถังปูน 15 สี AC,ถังปูน 15 สี AC,1.0
กรวยพลาสติก #6 CC,กรวยพลาสติก #6 CC,1.0
ขูดมะละกอเหลี่ยม 9674 ด้ามฟ้า IMM,ขูดมะละกอเหลี่ยม 9674 ด้ามฟ้า IMM,1.0
ช้อนส้อมเกาหลี PS-444-19 (หัวเล็กด้ามยาว),ช้อนส้อมเกาหลี PS-444-19 (หัวเล็กด้ามยาว),1.0
แปรงซักผ้าแป้นไม้-สีนม (ตราสมอ),แปรงซักผ้าแป้นไม้-สีนม (ตราสมอ),1.0
ตะกร้าฝาปิด (กลาง) หูหิ้ว 321/2 VJ,ตะกร้าฝาปิด (กลาง) หูหิ้ว 321/2 VJ,1.0
ไม้แขวนเสื้อ - ลวด 111 หนุมาน STCP,ไม้แขวนเสื้อ - ลวด 111 หนุมาน STCP,1.0
ตะแกรง 9831 SMT,ตะแกรง 9831 SMT,1.0
ตะแกรงเหลี่ยม 903 สีเข้ม RTH,ตะแกรงเหลี่ยม 903 สีเข้ม RTH,1.0
ช้อนส้อมเกาหลี PS-444-19 (หัวเล็กด้ามยาว),ช้อนส้อมเกาหลี PS-444-19 (หัวเล็กด้ามยาว),1.0
กระชอนพลาสติก #12 PYP,กระชอนพลาสติก #12 PYP,1.0
คัทตัลบัท 100 ก้านจิ๋ว B-Duck (กระปุก) RR,คัทตัลบัท 100 ก้านจิ๋ว B-Duck (กระปุก) RR,1.0
กล่องล้อ K-1200,กล่องล้อ K-1200,1.0
กะละมัง 058 สี OS,กะละมัง 058 สี OS,1.0
คราดมือเสือ 023 NCL,คราดมือเสือ 023 NCL,1.0
เก้าอี้ซักผ้ากลม #9076D สีดำ WCP,เก้าอี้ซักผ้ากลม #9076D สีดำ WCP,1.0
ตะกร้ากลม 9899/3 สีใส SMT,ตะกร้ากลม 9899/3 สีใส SMT,0.9999999403953552
เก้าอี้เตี้ย 555 สีหวาน MM,เก้าอี้เตี้ย 555 สีหวาน MM,0.9999999403953552
ตะแกรง 1990 สีใส-สีสด SRT,ตะแกรง 1990 สีใส-สีสด SRT,0.9999999403953552
ถังปูน 15 สี SP,ถังปูน 15 สี SP,0.9999999403953552
ตะแกรงใหญ่ 519 DMT,ตะแกรงใหญ่ 519 DMT,0.9999999403953552
กะละมัง 60 สี AC,กะละมัง 60 สี AC,0.9999998807907104
กะละมังเหลี่ยม 666 OS,กะละมังเหลี่ยม 666 OS,0.9999998807907104
กะละมัง 004/75 ดำ SP,กะละมัง 004/75 ดำ SP,0.9999998807907104
แปรงซักผ้า (ไดโน) แป้นไม้-ขนสีนม NCL,แปรงซักผ้า (ไดโน) แป้นไม้ - ขนสีนม NCL,0.9984612464904784
หม้อด้ามร่ม#16 (ไม่รับเปลี่ยน) UM,หม้อด้ามร่ม #16 (ไม่รับเปลี่ยน) UM,0.9981367588043212
หม้อด้ามร่ม#18 (ไม่รับเปลี่ยน) UM,หม้อด้ามร่ม #18 (ไม่รับเปลี่ยน) UM,0.9979457855224608
กระป๋องกาแฟ ปากต่อ#16 JRR,กระป๋องกาแฟ ปากต่อ #16 JRR,0.997764766216278
แปรงซักเสื้อขนใส อีสแมน S-09 BB,แปรงซักเสื้อขนใส-อีสแมน S-09 BB,0.997563362121582
ขวดนม2ออนซ์ กลม-RB113 ROY,ขวดนม 2ออนซ์ กลม - RB113 ROY,0.9973448514938354
กระบวยตักน้ำไก่ #1(1*5) VTW,กระบวยตักน้ำไก่ #1 (1*5) VTW,0.997208833694458
แปรงซักผ้าแป้นไม้-สีนม (ตราสมอ),แปรงซักผ้าแป้นไม้ - สีนม (ตราสมอ),0.9971656203269958
กระบวยตักน้ำไก่ #2(1*5) VTW,กระบวยตักน้ำไก่ #2 (1*5) VTW,0.9969152212142944
คีบน้ำแข็งด้ามสีเล็ก#72 ตราผึ้ง BEE,คีบน้ำแข็งด้ามสี-เล็ก #72 ตราผึ้ง BEE,0.9966657161712646
หมวกอาบน้ำการ์ตูน-จัมโบ้,หมวกอาบน้ำการ์ตูน - จัมโบ้,0.9965659379959106
คีบน้ำแข็งด้ามสีใหญ่#71 ตราผึ้ง BEE,คีบน้ำแข็งด้ามสี-ใหญ่ #71 ตราผึ้ง BEE,0.9956703186035156
ถัง+ฝา 4.5 SRT,ถัง + ฝา 4.5 SRT,0.9947208166122437
กระทะม้วนขอบ#33 ร่ม(ไม่รับเปลี่ยน) UM,กระทะม้วนขอบ #33 ร่ม (ไม่รับเปลี่ยน) UM,0.9946603178977966
ถัง+ฝา 12 สี BP,ถัง + ฝา 12 สี BP,0.9945064187049866
ถังฝา KF-008 สีดำ RTH,ถัง ฝา KF-008 สีดำ RTH,0.9941039085388184
แขวนเสื้อลวด+หนีบ 99 SM,แขวนเสื้อลวด + หนีบ 99 SM,0.9936910271644592
แปรงซักเสื้อ แป้นไม้(ไดโน) NCL,แปรงซักเสื้อ-แป้นไม้ (ไดโน) NCL,0.9931949973106384
คัทตัลบัท 200ก้านกระปุก แจ็กซ์เพียว JAXX,คัทตัลบัท 200ก้านกระปุก แจ็กซ์เพี่ยว JAXX,0.9930166602134703
ปืนยิงกาวแผงใส-ใหญ่40W 39#0250 IMM,ปืนยิงกาวแผงใส - ใหญ่ 40W 39 #0250 IMM,0.992654025554657
คีบต่อ-คอใหญ่ FW-075 MIFL,คีบต่อ - คอใหญ่ FW-075 MIFL,0.9925106763839722
มีดด้ามพลาสติก171P KW,มีดด้ามพลาสติก 171P KW,0.9923717379570008
"คีบหัวใบไม้สั้น9"" FW-083 MIFL","คีบหัวใบไม้ สั้น 9"" FW-083 MIFL",0.9917689561843872
แผ่นแปะผมกล่อง01661 KKA,แผ่นแปะผมกล่อง 01661 KKA,0.99172842502594
ตะกร้าเหลี่ยม มีหู สีหวาน 5948 JCP,ตะกร้า-เหลี่ยม มีหู สีหวาน 5948 JCP,0.991512894630432
ตะกร้าเหลี่ยม มีหู สีหวาน 5948 JCP,ตะกร้า-เหลี่ยม มีหู สีหวาน 5948 JCP,0.991512894630432
ถาดกลมเลส32cm LH-4413 TLH,ถาดกลมเลส 34 cm LH-4414 TLH,0.990645170211792
โต๊ะไม้ ขาดำ (เล็ก) 16*24 PYS,โต๊ะไม้ - ขาดำ (เล็ก) 16*24 PYS,0.9906349182128906
กะละมัง 004/58 สี SP,กะละมัง 004/53 สี SP,0.9906045198440552
กล่องผืนผ้า#8036 จุกปล่อยอากาศ SW,กล่องผืนผ้า #8037 จุกปล่อยอากาศ SW,0.9898366928100586
ตะแกรงเหลี่ยม จัมโบ้ 1989 SRT,ตะแกรงเหลี่ยม - จัมโบ้ 1989 SRT,0.9898035526275636
ริบบิ้นม้วน-ดิ้นทอง(ระฆัง)12MM(1*10),ริบบิ้นม้วน - ดิ้นทอง (ระฆัง) 12MM (1*10),0.9894393682479858
"วางเค้กใหญ่#1 (L) VS,BOMM","วางเค้กใหญ่ #1 (L) VS,BOMM",0.9889965057373048
เขียงพลาสติก-ใหญ่ NO.167 VR,เขียงพลาสติก - ใหญ่ NO.167 VR,0.9885459542274476
"คีบหัวใบไม้ใหญ่13"" FW-082 MIFL","คีบหัวใบไม้ใหญ่ 13"" FW-082 MIFL",0.9884206652641296
ทัพพีใหญ่ด้ามดำ TP-079 (ต้นสน) TK,ทัพพ์ใหญ่ - ด้ามดำ TP-079 (ต้นสน) TK,0.9881633520126344
ถาดกลมเลส32cm LH-4413 TLH,ถาดกลมเลส 32 cm LH-4413 TLH,0.98812073469162
ถาดกลมเลส28cm LH-4411 TLH,ถาดกลมเลส 34 cm LH-4414 TLH,0.9871228337287904
กล่องแช่เหลี่ยม4425 SRT,กล่องแช่เหลี่ยม 4425 SRT,0.9862042665481568
ถาดกลมเลส28cm LH-4411 TLH,ถาดกลมเลส 32 cm LH-4413 TLH,0.9857083559036256
แปรงซักเสื้อขนใส อีสแมน S-09 BB,แปรงซักเสื้อขนโส - อีสแมน S-09 BB,0.9854685068130492
ทัพพีแขกด้ามพลาสติกสี ตราสมอ PPL,ทัพพีแขก - ด้ามพลาสติกสี ตราสมอ PPL,0.9853251576423644
คั้นส้มขาตั้ง กลมเล็ก (มีเนียม) KPT,คั้นส้มขาตั้ง - กลมเล็ก (มิเนียม) KPT,0.9848751425743104
แปรงซักเสื้อ แป้นไม้(ไดโน) NCL,แปรงซักเสื้อ - แป้นไม้ (ไดโน) NCL,0.9848002195358276
โหลเหลี่ยมใหญ่ (คลาสิก) 048-X BG,โหลเหลี่ยม - ใหญ่ (คลาสิก) 048-X BG,0.9842198491096495
"วางเค้กใหญ่#1 (L) VS,BOMM","วางเค้กใหญ่ #1 (L) VS, BOMM",0.9840297698974608
กระบวยตักน้ำไก่ #1(1*5) VTW,กระบวยตักน้ำไก่ #2 (1*5) VTW,0.9836509227752686
ตะกร้ากลม 9899/3 สีใส SMT,ตะกร้ากลม 9899/1 สีใส SMT,0.9832264184951782
ลวดอเนกประสงค์เส้นใหญ่(วงใหญ่) KAWA,ลวดอเนกประสงค์ - เส้นใหญ่ (วงใหญ่) KAWA,0.9829890727996826
"ถุงห่วงกาแฟ จัมโบ้6""(S.P.)NO.01 BIR","ถุงห่วงกาแฟ - จัมโบ้ 6"" (S.P.) NO.01 BIR",0.9827631115913392
ทัพพีใหญ่ด้ามดำ TP-079 (ต้นสน) TK,ทัพพีใหญ่ - ด้ามดำ TP-079 (ต้นสน) TK,0.9817915558815002
กล่องแช่เหลี่ยม4424 SRT,กล่องแช่เหลี่ยม 4425 SRT,0.9814477562904358
กะละมัง 004/58 สี SP,กะละมัง 004/75 สี SP,0.9811418056488036
แปรงซักผ้าขนนม แป้นสีบรอนซ์333 CC,แปรงซักผ้า ขนสี-แป้นบรอนซ์ 333 CC,0.9809678792953492
"คีบสลัด-เล็ก 10"" (หนา) FW-088 แพคครึ่ง","คีบสลัด - เล็ก 10"" (หนา) FW-088 แพ็คครึ่ง",0.9805978536605836
กระบวยตักน้ำไก่ #2(1*5) VTW,กระบวยตักน้ำไก่ #1 (1*5) VTW,0.9805928468704224
กระชอนพลาสติก #12 PYP,กระชอนพลาสติก #15 PYP,0.9805017113685608
กระชอนพลาสติก #15 PYP,กระชอนพลาสติก #12 PYP,0.9805015325546264
"คีบสลัดใหญ่15"" (บาง) FW-143 แพคโหล","คีบสลัด - ใหญ่ 15"" (บาง) FW-143 แพ็คโหล",0.9804600477218628
ตะกร้ากลม 9899/3 สีใส SMT,ตะกร้ากลม 9899/2 สีใส SMT,0.9804388284683228
ถังปูน 15 สี AC,ถัง ปูน 15 สี AC,0.979556918144226
ปืนยิงกาวแผงใส-ใหญ่40W 39#0250 IMM,ปืนยิงกาวแผงใส - ใหญ่ 40W 39 #0250 IMP,0.9794429540634156
หิ้งพระ#20 (ขาคู่)(1*2ตัว) DT,หิ้งพระ #20 (ขาคู่) ตื้น (1*2 ตัว) DT,0.9790650010108948
"คีบสลัดใหญ่15""(หนา) FW-086 แพคครึ่ง","คีบสลัด - ใหญ่ 15"" (หนา) FW-086 แพ็คครึ่ง",0.9781545996665956
ขูดมะพร้าว2หัวม้า/กระต่าย(อย่างดี) NK,ขูดมะพร้าว 2 หัวม้า/กระต่าย (อย่างดี) NK,0.9778891801834106
มีดด้ามพลาสติก171P KW,มีดด้ามพลาสติก 173P KW,0.9772915840148926
คัทตัลบัท 100 ก้าน (1*2) B-Duck (ของแพ),คัตตัลบัท 100 ก้าน (1*2) B-Duck (ของแท้),0.9771978855133056
กล่องแช่เหลี่ยม4424 SRT,กล่องแช่เหลี่ยม 4423 SRT,0.9767336845397948
ถังปูน 15 สี SP,ถัง ปูน 15 สี SP,0.9759531021118164
ถังปูน 15 สี AC,ถังปูน 16 สี AC,0.975461721420288
ทัพพีเล็กด้ามดำ TP-076 (ต้นสน) TK,ทัพพีเล็ก - ด้ามดำ TP-076 (ต้นสน) TK,0.9751994609832764
ลูกเหม็น 800 เม็ดเล็ก (20801) ATM,ลูกเหม็น 800 เม็ดเล็ก ATM,0.9748584628105164
เก้าอี้ซักผ้าเหลี่ยมหลามตัด 9026 สีหวาน AB,เก้าอี้ซักผ้าเหลี่ยม - หลามตัด 9026 สีหวาน AE,0.9745110869407654
เก้าอี้เตี้ย 610 ดำ CS,เก้าอี้เตี้ย 610 ดำ,0.9743589162826538
ตะกร้าเหลี่ยม 5953 หูหิ้ว JCP,ตะกร้า - เหลี่ยม 5953 หูหิ้วคู่ JCP,0.9736923575401306
คั้นมะนาว-แสตนเลส FW 147 (แผง),คั้นมะนาว - แสตนเลส FW 147 (แผงกระดาษ,0.9735498428344728
แปรงเตารีดทองเหลือง SBL-106 พระอาทิตย์,แปรงเตารีด-ทองเหลือง SB-106 พระอาทิตย์,0.9732508659362792
แปรงเตารีดทองเหลือง SBL-106 พระอาทิตย์,แปรงเตารีด-ทองเหลือง SB-106 พระอาทิตย์,0.9732508659362792
กระชอนพลาสติก #12 PYP,กระชอนพลาสติก #10 PYP,0.9731882810592652
ดับกลิ่นตลับเล็ก 35g (12040) ATM,ดับกลิ่นตลับเล็ก 35g ATM,0.9725719094276428
กระชอน24cm LH-669/LH-5097 ด้ามเลส,กระชอน 16cm LH-665/LH-5093 ด้ามเลส,0.9715747237205504
แปรงซักผ้า (ไดโน) แป้นไม้-ขนสีนม NCL,แปรงซักผ้า (ไม้เล็ก) แป้นไม้-ขนสีนม NCL,0.9715194702148438
คัทตัลนัท 100 ก้านจิ๋ว B.Duck (กระปุก) RR,คัทตัลบัท 100 ก้านจิ๋ว B-Duck (กระปุก) RR,0.970757246017456
คีบน้ำแข็งด้ามสีใหญ่#71 ตราผึ้ง BEE,คีบน้ำแข็งด้ามสี-เล็ก #72 ตราผึ้ง BEE,0.9704511165618896
มีดด้ามพลาสติก171P KW,มีดด้ามพลาสติก 211P KW,0.970403254032135
ตักน้ำแข็งมิเนียม CCD-2 CCD,ตักน้ำแข็งมิเนียม CCD-0 CCD,0.9698952436447144
มีดด้ามพลาสติก211P KW,มีดด้ามพลาสติก 211P KW,0.9698349833488464
ทัพพีเล็กด้ามดำ TP-076 (ต้นสน) TK,ทัพพ์ใหญ่ - ด้ามดำ TP-079 (ต้นสน) TK,0.969152331352234
คีบน้ำแข็งด้ามสีเล็ก#72 ตราผึ้ง BEE,คีบน้ำแข็งด้ามสี-ใหญ่ #71 ตราผึ้ง BEE,0.9682037830352784
กล่องแช่4401 SRT,กล่องแช่ 4401 SRT,0.9678340554237366
เก้าอี้เตี้ย 610 ดำ CS,เก้าอี้เตี้ย610ดำ,0.9672149419784546
กล่องแช่เหลี่ยม4425 SRT,กล่องแช่เหลี่ยม 4423 SRT,0.9671295285224916
ถัง+ฝา 4.5 SRT,ถังฝา 4.5 SRT,0.967103123664856
ลูกเหม็น 800 จัมโบ้ (20802) ATM,ลูกเหม็น 800 จัมโบ้ ATM,0.9669365882873536
คัทตัลบัท 100 ก้านจิ๋ว B-Duck,คัทตัลบัท 100 ก้านจิ๋ว B-Duck (กระปุก) RR,0.9668817520141602
มีด195 KW,มีด 194 KW,0.9646711349487304
แปรงเตารีดทองเหลือง SBL-106 พระอาทิตย์,แปรงเตารีด - ทองเหลือง SBI-106 พระอาทิตย์,0.9645156860351562
แปรงเตารีดทองเหลือง SBL-106 พระอาทิตย์,แปรงเตารีด - ทองเหลือง SBI-106 พระอาทิตย์,0.9645156860351562
แปรงซักผ้าขนนม แป้นสีบรอนซ์333 CC,แปรงซักผ้าขนสั้นม - แป้นสีบรอนซ์ 333 CC,0.9641835689544678
โต๊ะไม้ ขาดำ 24*24 PYS,โต๊ะไม้ - ขาดำ 20*30 PYS,0.9627166986465454
กระชอนพลาสติก #15 PYP,กระชอนพลาสติก #10 PYP,0.9626803398132324
ทัพพีเล็กด้ามดำ TP-076 (ต้นสน) TK,ทัพพีใหญ่ - ด้ามดำ TP-079 (ต้นสน) TK,0.962114155292511
ตะแกรงกรองน้ำมันด้ามแดง SJ320 (20ซม),ตะแกรงกรองน้ำมัน - ด้ามแดง SJ320 (20 ซม),0.9618703126907348
"คีบสลัด-เล็ก 10"" (หนา) FW-088 แพคครึ่ง","คีบสลัดเล็ก 10"" (หนา) FW-088 แพ็คครึ่ง",0.9611766934394836
โต๊ะไม้ ขาดำ 24*24 PYS,โต๊ะไม้ - ขาดำ (เล็ก) 16*24 PYS,0.961134433746338
